mode_of_transport,day,time,impacts,illumination_effect,campaign_name,frame,quarter_of_hour
2,1,53,23.3317866298,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 19:00:00
2,1,54,1.3938288927,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 19:15:00
2,1,55,6.4530560167,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 19:30:00
2,1,56,10.5674110435,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 19:45:00
2,1,57,0.0343976953,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 20:00:00
2,1,58,0.1512448287,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 20:15:00
2,1,59,3.7682163175,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 20:30:00
2,1,60,12.8940328683,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 20:45:00
2,1,62,0.0082632855,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 21:15:00
2,1,64,0.7280262014,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 21:45:00
2,1,65,7.8326414901,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 22:00:00
2,1,66,0.1515907755,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 22:15:00
2,1,67,8.2230449836,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 22:30:00
2,1,68,2.1302113331,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 22:45:00
2,1,69,0.9821801317,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 23:00:00
2,1,70,5.9731334466,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 23:15:00
2,1,71,1.6364240456,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-21 23:30:00
2,1,75,1.1663421794,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-22 00:30:00
2,1,76,0.5711645704,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-22 00:45:00
2,1,77,0.1181899156,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574174,2025-07-22 01:00:00
2,1,2,16.9778552992,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 06:15:00
2,1,3,13.601633637,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 06:30:00
2,1,4,0.0000034201,1,{R51_UndergroundStation-LondonDigital}_Schd1_W100,1234574187,2025-07-21 06:45:00
